time,counter,IMU_Accel_x,IMU_Accel_y,IMU_Accel_z,IMU_Gyro_x,IMU_Gyro_y,IMU_Gyro_z,Battery_1,Battery_2,Brake_Pedal,ca_AmpHrs,ca_Voltage,ca_Current,ca_Speed,ca_Miles,motor_temp,control_info
2024-01-03 06:41:44.466550,0,,,,,,,,,,,,,,,,
2024-01-03 06:41:44.977192,1,,,,,,,,,,,,,,,,
2024-01-03 06:41:45.486413,2,,,,,,,,,,,,,,,,
2024-01-03 06:41:45.994121,3,,,,,,,,,,,,,,,,
2024-01-03 06:41:46.500689,4,,,,,,,,,,,,,,,,
2024-01-03 06:41:47.007560,5,,,,,,,,,,,,,,,,
2024-01-03 06:41:47.514046,6,,,,,,,,,,,,,,,,
2024-01-03 06:41:48.021379,7,,,,,,,,,,,,,,,,
2024-01-03 06:41:48.528668,8,,,,,,,,,,,,,,,,
2024-01-03 06:41:49.037013,9,,,,,,,,,,,,,,,,
2024-01-03 06:41:49.544736,10,,,,,,,,,,,,,,,,
